age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
34,0,10,2,0,0,2,1,0,0,40,38
49,2,14,2,9,0,4,1,0,0,50,38
34,2,9,2,2,0,4,1,0,0,40,38
23,2,12,4,7,3,4,0,0,0,35,38
37,0,13,2,0,0,1,1,7298,0,40,29
58,2,13,2,9,5,4,0,99999,0,35,38
23,2,9,4,0,3,2,1,0,2001,40,38
37,2,7,3,7,2,4,1,0,0,40,7
30,2,9,2,7,5,4,0,0,0,30,38
67,2,9,2,10,0,4,1,0,0,24,38
23,2,11,0,0,1,4,0,0,0,30,38
39,2,9,2,2,0,4,1,0,0,40,38
52,5,13,2,10,0,4,1,0,0,40,38
35,2,11,4,0,3,4,0,14344,0,40,38
51,2,13,2,3,0,4,1,0,0,45,38
44,2,10,2,9,0,4,1,0,0,40,38
31,2,13,4,9,1,4,0,0,0,40,38
25,2,11,4,2,4,0,1,0,0,40,38
30,2,13,4,11,1,4,1,0,0,60,38
24,2,9,0,11,4,0,0,0,0,48,38
52,4,13,2,9,0,4,1,0,0,60,38
25,2,4,2,2,0,4,1,0,0,40,25
38,2,10,2,2,0,4,1,0,0,40,38
60,5,15,2,9,0,4,1,0,0,40,38
33,3,9,2,3,0,4,1,0,0,50,38
37,2,9,2,7,5,1,0,0,0,60,29
54,0,10,2,9,0,4,1,0,0,40,38
24,2,10,4,0,1,2,1,0,0,20,38
21,2,9,4,2,1,4,1,0,0,35,38
38,2,13,4,4,1,4,1,0,0,40,38
43,2,13,2,4,0,4,1,0,0,50,38
44,2,14,0,11,1,4,1,0,0,24,19
33,2,9,2,7,0,2,1,0,0,40,38
41,1,13,0,10,4,4,0,0,0,40,38
30,2,10,2,12,5,2,0,0,0,45,38
54,4,6,2,11,0,4,1,0,0,65,38
51,4,10,2,9,5,4,0,0,0,40,38
40,2,10,0,0,4,4,0,0,0,39,38
44,4,9,2,2,0,4,1,7298,0,50,8
31,5,16,2,9,0,4,1,0,1977,70,38
37,2,13,4,3,1,4,1,0,0,48,38
34,1,13,2,9,0,4,1,0,2051,40,38
37,0,11,5,0,1,2,1,0,0,40,38
62,4,4,6,7,1,4,0,0,0,66,38
26,2,9,4,7,1,4,0,0,0,35,38
22,2,10,4,11,3,4,1,0,0,40,38
44,2,13,4,7,1,4,1,0,0,40,38
37,2,13,2,4,0,4,1,0,0,50,38
22,2,10,4,0,1,4,0,0,0,40,38
46,2,9,2,11,0,4,1,0,0,65,38
60,2,5,2,11,0,4,1,0,0,40,38
28,2,9,4,7,1,0,1,0,0,30,38
34,4,9,2,3,0,4,1,0,0,50,38
43,2,13,2,11,0,4,1,0,0,40,38
25,2,13,4,3,1,4,0,3325,0,40,38
54,2,13,2,11,0,4,1,7688,0,50,38
38,5,9,2,0,0,4,1,3464,0,40,38
64,2,6,5,7,1,4,0,0,0,35,38
57,0,13,4,0,1,4,1,0,2258,40,38
28,2,14,2,9,0,4,1,0,0,40,38
46,0,7,6,0,1,4,0,0,0,40,38
45,2,9,2,6,0,4,1,0,0,40,38
46,1,13,2,9,0,4,1,0,0,38,38
29,2,13,4,0,3,1,0,2202,0,40,35
42,2,13,4,3,1,4,0,0,0,35,38
45,2,10,2,2,0,4,1,0,0,40,38
19,2,9,4,0,1,4,1,0,0,30,38
43,2,10,0,7,1,4,1,0,0,30,38
41,2,9,2,13,0,4,1,0,0,50,38
30,4,7,4,2,1,4,1,0,0,45,38
30,4,7,3,2,1,4,1,0,0,30,15
24,2,9,2,2,0,4,1,0,0,45,38
19,2,9,4,0,1,4,0,0,0,30,38
40,2,10,2,0,0,4,1,5178,0,60,38
43,3,9,2,2,0,4,1,0,0,40,38
30,2,10,2,11,0,4,1,0,0,50,38
43,2,6,4,6,1,2,1,0,0,40,38
48,2,6,5,6,3,4,0,0,0,48,38
24,2,9,2,7,0,4,1,0,0,39,38
31,2,9,4,0,1,4,0,0,0,40,38
44,2,8,0,13,4,2,1,0,0,40,38
32,4,9,2,11,0,4,1,0,0,40,38
27,2,9,4,5,2,4,1,0,0,28,12
37,2,13,2,9,5,4,0,0,0,16,38
26,2,10,2,3,5,4,0,0,0,40,38
40,2,9,2,7,0,1,1,0,0,30,2
52,4,14,2,3,0,1,1,0,0,40,29
37,2,9,2,3,0,4,1,0,0,40,38
53,2,13,0,0,4,4,0,0,0,40,38
42,4,10,2,2,0,4,1,0,0,45,38
21,2,10,4,7,3,2,1,0,0,20,38
19,2,10,4,7,3,4,0,0,0,18,38
45,2,9,2,2,0,4,1,0,0,45,38
35,1,9,5,0,4,4,0,0,0,38,38
43,2,14,2,3,5,4,0,15024,0,32,38
43,4,9,4,2,1,4,1,0,0,35,38
41,4,9,0,2,4,4,1,0,0,27,38
36,2,9,2,0,0,4,1,0,0,50,38
49,2,5,2,5,0,4,1,0,0,45,38
21,2,7,4,7,3,4,1,0,0,50,38
20,2,10,4,0,3,4,0,0,0,35,38
52,2,9,4,7,4,4,1,0,0,40,38
44,1,9,2,0,2,4,0,0,0,40,38
26,2,9,4,2,3,4,1,0,0,20,38
43,1,10,0,7,4,4,0,0,0,20,38
49,2,9,2,2,0,4,1,0,0,40,38
24,2,9,4,0,3,4,0,0,0,40,38
46,4,11,2,3,0,4,1,0,0,60,38
53,2,9,2,9,0,4,1,0,0,42,38
20,2,7,4,13,3,4,1,0,0,15,38
35,2,9,2,2,0,4,1,0,0,40,38
61,0,15,2,9,0,4,1,0,0,50,38
39,3,14,0,3,1,1,1,0,0,99,23
42,2,13,2,3,0,4,1,5178,0,40,38
23,1,13,4,0,1,4,1,0,0,32,38
34,2,9,4,7,1,1,1,0,0,40,23
65,5,10,2,6,0,2,1,0,0,40,38
25,2,10,4,11,3,1,1,0,0,40,38
27,2,9,4,0,1,2,0,0,0,40,38
34,2,9,0,11,1,4,0,0,1590,40,38
54,3,15,2,9,0,4,1,99999,0,60,38
39,2,9,2,9,0,4,1,0,0,45,38
41,2,9,2,6,0,2,1,0,0,40,38
74,4,16,3,9,1,4,1,0,0,25,38
66,2,13,2,11,0,4,1,0,0,15,38
23,2,9,4,0,1,4,0,0,0,40,38
21,2,7,4,8,2,4,0,0,0,40,25
28,5,10,2,10,0,4,1,0,0,40,38
24,2,13,4,9,1,4,0,0,0,40,38
34,2,9,0,13,1,4,1,0,0,50,38
23,2,10,4,2,1,4,1,0,0,40,38
42,0,14,4,3,1,4,0,14084,0,60,38
32,1,13,0,9,1,4,1,0,0,40,38
42,2,13,2,3,0,4,1,0,0,40,38
27,2,10,4,11,1,4,1,0,0,44,38
34,2,14,0,9,3,4,0,0,0,60,38
27,2,7,4,2,1,4,1,0,0,45,38
28,2,13,4,6,4,2,0,0,0,40,38
48,2,13,6,7,4,4,0,0,0,20,38
48,3,10,0,4,1,4,1,0,0,45,38
51,2,11,2,7,0,4,1,4064,0,55,38
32,2,13,2,11,0,2,1,15024,0,50,38
49,5,11,0,0,1,2,0,0,0,44,38
34,2,13,2,3,0,4,1,0,0,50,38
52,4,10,4,9,3,4,0,0,0,35,38
24,5,9,2,12,0,4,1,0,0,40,38
40,4,10,2,12,0,4,1,0,0,50,38
40,2,9,6,6,3,4,0,0,0,30,38
22,2,9,4,6,1,4,0,0,0,48,38
40,2,9,6,11,1,4,0,0,0,40,38
31,2,9,0,2,1,4,1,0,0,45,38
53,2,10,2,12,0,4,1,0,0,40,38
31,2,9,4,0,1,4,0,0,0,50,38
58,2,15,2,9,0,4,1,0,0,45,38
22,2,13,4,3,3,4,0,0,0,7,38
34,2,13,2,3,0,4,1,0,0,48,38
45,5,10,0,0,1,4,0,0,0,40,38
36,2,13,2,9,0,4,1,0,0,40,38
37,2,10,4,13,4,4,0,0,0,20,32
52,2,9,0,13,1,4,1,0,0,45,38
60,2,9,0,0,2,4,0,0,0,40,38
41,2,10,2,2,0,4,1,0,0,45,38
47,4,13,4,3,1,2,1,10520,0,45,38
23,2,10,4,12,1,4,0,0,0,40,38
21,2,10,4,11,3,4,1,0,0,45,38
34,2,11,4,5,1,2,1,0,0,40,38
34,2,9,4,8,1,4,0,0,0,40,25
26,2,13,4,7,1,4,1,0,0,40,38
59,2,6,2,6,0,4,1,0,0,40,38
22,2,9,4,13,3,4,1,0,0,40,38
43,2,13,2,3,0,4,1,0,1977,50,38
23,5,13,4,9,3,4,0,0,0,20,38
23,0,10,4,1,2,4,1,0,0,40,38
72,4,10,2,2,0,4,1,0,0,35,38
27,2,9,4,7,1,4,1,0,1980,40,38
41,2,13,0,3,4,2,0,0,0,90,38
56,2,9,4,0,1,4,0,0,0,40,38
38,0,10,0,3,1,2,0,0,0,40,38
50,5,13,0,0,1,2,0,0,0,37,38
36,3,4,4,2,4,2,1,0,0,40,38
36,2,9,4,11,4,4,1,0,0,60,38
52,2,10,2,2,0,4,1,0,0,40,38
48,1,14,2,9,0,4,1,0,0,40,38
37,0,10,2,2,0,4,1,0,0,43,38
53,2,13,0,3,4,1,1,0,0,50,38
28,2,7,4,6,1,2,1,0,0,40,38
17,2,8,4,7,3,2,1,0,0,18,38
17,2,7,4,11,3,4,1,0,0,20,38
23,2,13,4,0,3,4,0,2174,0,40,38
27,2,13,4,12,1,1,0,0,0,40,29
21,2,10,4,7,3,4,0,0,0,20,38
28,2,10,2,3,0,4,1,0,0,50,38
24,2,10,4,9,1,2,1,0,0,40,38
26,5,14,4,9,1,4,0,0,0,40,38
44,2,10,2,3,0,4,1,0,0,40,38
25,2,9,4,8,1,4,0,0,0,50,38
21,2,5,4,13,3,4,1,0,0,40,38
34,2,9,4,0,1,4,0,0,0,40,38
57,4,14,2,9,0,4,1,0,0,40,38
21,2,10,4,11,2,4,0,0,0,40,38
28,5,7,5,0,4,1,0,0,0,40,18
46,1,13,2,10,0,4,1,0,0,40,38
29,2,9,2,6,0,4,1,0,0,50,38
39,1,8,2,12,0,4,1,0,0,50,38
32,2,7,0,2,3,4,1,0,0,50,38
63,2,13,2,2,0,1,1,0,0,40,34
30,2,9,4,2,1,4,1,0,0,40,38
36,2,6,2,2,0,4,1,0,0,40,38
23,5,13,4,12,1,4,0,0,0,20,38
45,2,13,2,3,0,4,1,0,0,72,1
42,2,9,0,13,1,4,1,0,0,50,38
42,2,10,2,6,5,4,0,0,0,37,38
43,2,13,2,7,0,4,1,0,0,40,38
46,2,11,0,11,4,4,0,0,0,40,38
32,2,13,0,11,1,4,1,0,0,45,38
37,3,14,0,3,1,4,0,0,0,70,38
34,2,11,4,2,1,4,0,0,0,40,38
31,2,10,4,11,1,4,1,0,0,45,38
23,2,11,2,5,0,4,1,0,0,40,38
57,3,14,2,11,0,4,1,15024,0,65,38
50,2,9,2,9,0,4,1,0,0,40,38
20,2,9,4,5,3,4,1,0,0,40,38
28,3,10,4,3,1,4,1,0,0,30,38
46,4,10,2,3,0,4,1,0,0,58,38
33,2,9,2,2,0,4,1,0,0,60,38
27,2,10,4,11,1,4,1,0,0,20,38
69,2,9,6,7,1,4,0,991,0,18,38
46,2,12,2,2,0,4,1,0,0,40,38
32,2,9,2,3,0,4,1,0,1672,60,38
18,2,7,4,5,3,4,1,0,1602,40,38
40,2,9,2,13,0,4,1,0,0,35,38
68,2,10,0,11,1,4,0,0,0,40,38
33,5,9,0,0,1,4,1,0,0,40,38
39,3,11,2,2,0,4,1,0,2415,40,38
21,2,10,4,0,3,4,0,2176,0,20,38
32,4,13,2,9,0,4,1,0,0,45,38
45,2,5,5,7,4,3,0,0,0,40,37
32,2,13,4,2,3,4,1,0,0,40,38
39,1,13,0,0,4,4,0,0,0,35,38
46,2,2,6,7,4,3,0,0,0,30,25
30,2,13,4,0,1,4,0,0,0,40,38
27,4,10,4,2,1,4,1,0,0,35,38
35,2,10,2,11,0,4,1,0,0,45,38
26,0,10,4,12,3,4,0,0,0,40,38
31,2,9,0,3,4,4,0,0,0,40,38
38,2,14,2,9,0,4,1,0,0,45,38
32,2,10,4,0,1,4,0,0,0,40,38
25,2,6,4,8,3,4,0,0,0,24,38
35,4,5,2,2,0,4,1,2635,0,30,38
70,2,4,6,7,4,2,0,0,0,38,38
61,2,10,2,5,0,4,1,0,0,20,38
53,2,9,2,11,0,4,1,0,0,40,38
35,2,9,2,6,0,4,1,0,0,30,38
32,2,9,2,13,0,4,1,0,0,40,38
33,2,10,0,0,1,4,0,0,0,40,38
52,2,13,2,3,0,4,1,0,0,48,38
50,0,13,0,3,1,4,1,0,0,55,38
33,2,7,4,11,1,4,0,0,0,40,38
50,1,9,2,0,5,4,0,7298,0,30,38
49,0,14,2,0,0,4,1,0,0,40,38
19,2,10,4,12,2,1,1,0,0,40,39
18,2,7,4,5,3,4,1,0,0,15,38
32,3,15,2,9,0,4,1,0,0,40,38
30,2,9,2,3,0,4,1,0,0,65,38
27,1,13,2,10,0,4,1,0,0,68,38
59,2,9,2,13,0,4,1,0,0,40,38
26,2,9,2,3,0,4,1,3942,0,45,38
68,2,14,2,3,0,4,1,0,2392,40,38
26,0,9,4,0,1,1,1,0,0,40,38
49,2,9,2,2,0,4,1,7688,0,45,38
29,2,9,0,7,1,4,0,0,0,25,38
60,5,10,2,13,0,4,1,0,0,40,38
51,2,9,2,13,0,4,1,0,0,60,38
31,4,9,2,9,0,4,1,0,0,40,3
66,2,9,2,11,0,4,1,0,0,40,38
57,2,9,2,11,0,4,1,0,0,40,38
56,2,10,6,3,1,2,0,0,0,32,38
36,2,14,2,3,0,4,1,0,0,50,38
36,2,13,2,12,0,4,1,3103,0,42,38
31,1,9,0,10,1,4,1,0,0,47,38
46,1,13,0,9,1,4,0,0,1408,40,38
36,1,14,2,9,5,4,0,0,0,40,38
40,2,14,2,3,0,4,1,0,0,40,38
55,2,6,6,13,1,2,0,0,0,35,38
25,2,11,2,11,0,4,1,0,0,41,38
45,5,10,0,9,4,4,0,0,0,40,38
67,2,10,2,5,0,4,1,9386,0,24,4
33,2,13,4,3,1,4,0,0,0,40,38
54,3,10,2,11,0,4,1,0,1977,40,38
56,2,9,2,2,0,4,1,0,0,60,38
40,4,15,4,9,1,4,1,0,2444,45,38
56,2,9,2,2,0,4,1,3103,0,40,38
29,2,5,2,6,0,4,1,0,0,40,25
55,2,4,2,2,0,4,1,0,0,60,38
20,2,10,4,6,2,2,0,0,0,35,38
30,2,11,2,9,0,4,1,0,0,40,38
26,2,9,2,2,0,4,1,5013,0,60,38
19,2,10,4,11,3,4,0,0,0,15,38
18,2,7,4,5,3,4,1,0,0,12,38
23,2,9,2,11,0,2,1,0,0,37,38
36,2,9,2,5,0,4,1,0,0,40,38
37,1,10,2,13,0,4,1,0,0,40,38
22,2,11,0,12,1,4,1,0,0,60,38
31,2,13,2,12,0,1,1,0,0,40,38
22,2,9,4,11,4,4,0,0,0,40,38
28,2,9,2,6,0,4,1,0,0,45,38
33,1,13,4,12,1,2,1,0,1564,52,38
43,1,9,2,3,0,3,1,0,1887,40,38
70,2,7,2,13,0,4,1,0,0,40,38
32,0,9,4,3,4,4,0,0,1380,40,38
24,2,12,4,0,3,4,0,0,0,40,38
28,2,6,0,7,1,4,0,0,0,40,38
20,2,9,4,5,3,4,1,0,0,35,38
22,2,10,4,0,3,4,1,0,0,30,38
36,5,9,5,7,3,4,0,0,0,32,38
38,2,11,4,12,1,4,0,0,0,40,38
18,2,9,4,5,3,2,1,0,0,40,38
42,2,10,2,3,0,4,1,0,0,50,38
57,4,10,2,4,0,4,1,0,0,50,38
39,2,9,5,6,1,2,1,2176,0,40,38
62,2,10,2,7,0,4,1,0,0,40,38
37,2,11,4,7,1,4,1,0,0,40,38
50,2,10,4,5,1,4,1,0,0,38,38
47,2,9,2,13,0,4,1,0,0,50,38
57,1,14,0,7,4,2,0,0,0,40,38
49,2,13,2,7,0,4,1,0,0,40,38
37,2,11,2,2,0,4,1,0,0,45,38
47,4,13,2,9,0,4,1,0,2002,30,38
33,5,9,2,7,0,4,1,0,0,40,38
53,2,9,2,2,0,4,1,0,0,40,38
25,2,13,0,2,1,4,1,0,0,40,38
47,2,13,2,3,0,4,1,0,0,45,1
42,0,9,0,0,4,2,0,0,0,40,38
17,2,7,4,11,3,4,0,0,0,16,38
25,2,4,4,5,4,4,1,0,0,40,38
51,0,16,4,9,1,4,0,0,1564,70,38
40,2,15,2,2,0,4,1,5178,0,40,25
55,2,13,2,11,0,4,1,0,0,40,38
69,2,14,2,9,0,4,1,0,0,25,38
18,2,9,4,2,3,4,1,0,0,40,38
51,2,12,2,11,0,4,1,5178,0,45,38
37,2,13,2,3,2,4,1,3411,0,47,38
38,2,15,2,9,0,4,1,99999,0,60,38
53,1,14,2,3,0,2,1,0,0,40,38
43,0,11,0,2,1,4,1,0,0,40,38
56,2,11,2,2,0,4,1,0,0,48,38
20,2,10,4,7,1,4,0,0,0,40,38
62,2,9,6,7,1,4,0,0,0,40,38
40,2,10,0,0,4,4,0,914,0,40,38
67,2,14,2,3,0,4,1,0,0,40,38
53,0,9,0,2,1,2,1,0,0,40,38
21,2,10,4,5,3,4,1,0,0,30,38
56,2,13,2,0,0,4,1,0,0,40,38
28,2,15,4,9,1,4,0,0,0,85,38
24,2,13,4,3,1,4,1,0,0,50,38
21,2,9,4,0,4,4,0,0,0,40,38
55,2,10,2,12,0,4,1,0,0,40,38
37,2,13,2,9,0,4,1,0,0,50,38
36,2,12,2,9,0,4,1,0,0,48,38
35,5,13,2,3,5,4,0,0,0,35,38
23,4,9,4,4,1,4,1,0,0,25,25
20,2,9,4,0,3,4,0,0,0,40,38
55,2,13,2,3,0,4,1,0,0,45,38
51,0,9,2,0,0,4,1,0,0,40,38
40,3,14,2,11,0,4,1,0,0,70,38
20,2,10,4,7,3,4,1,0,0,40,38
17,2,7,4,13,3,4,1,0,0,20,38
33,2,13,2,0,2,1,1,0,0,40,18
41,2,9,0,2,4,4,0,1506,0,50,38
53,2,9,2,6,0,4,1,0,0,38,38
35,2,10,2,0,0,4,1,0,0,50,38
36,2,9,0,2,1,4,1,0,0,40,38
27,2,13,4,0,2,1,0,0,0,40,16
55,3,14,2,3,0,4,1,0,0,60,38
35,2,9,2,13,0,4,1,0,0,60,38
35,2,14,2,9,0,4,1,0,1977,45,38
40,2,10,2,0,5,4,0,0,0,40,38
19,2,4,4,2,3,4,1,0,1602,32,38
19,5,9,4,0,3,4,0,0,0,40,38
62,2,14,4,9,1,4,1,0,0,70,38
52,2,9,2,13,0,4,1,0,0,60,38
43,2,6,5,7,1,2,0,0,0,40,38
39,2,9,2,3,0,4,1,0,0,40,38
36,2,13,2,9,5,4,0,0,0,32,38
43,3,10,2,11,0,4,1,0,0,55,38
28,2,9,2,13,0,4,1,0,0,50,38
35,2,9,0,3,1,4,1,0,0,50,38
56,4,9,2,4,0,4,1,0,0,40,38
30,2,10,4,2,1,2,1,0,0,45,38
45,2,9,2,6,0,4,1,0,0,40,38
20,2,9,2,0,0,4,1,0,0,60,38
24,2,12,5,2,4,1,1,8614,0,40,38
28,2,9,0,11,3,4,0,0,0,40,38
48,2,13,2,11,0,4,1,0,0,45,38
23,2,9,0,2,1,4,1,0,0,60,38
44,1,14,2,9,0,4,1,15024,0,35,38
52,2,13,2,3,0,4,1,0,1887,40,38
44,2,14,2,9,0,4,1,0,0,44,38
27,2,13,4,9,1,4,0,0,0,50,38
46,2,10,4,0,1,4,0,0,0,40,38
60,2,4,4,13,1,4,1,0,0,48,38
24,2,13,2,0,5,4,0,0,0,50,38
37,4,12,2,13,0,4,1,0,0,50,38
48,2,10,4,0,1,4,0,0,0,43,38
39,2,9,4,6,4,2,0,0,0,40,38
55,2,3,6,6,4,4,0,0,0,40,38
17,2,7,4,5,3,4,1,0,0,15,38
32,2,9,0,12,4,4,0,1471,0,38,38
51,5,16,2,3,0,4,1,7688,0,55,38
51,2,9,2,2,0,4,1,0,0,40,38
41,2,9,5,2,1,4,1,0,0,40,38
34,2,10,0,9,4,4,0,0,0,6,38
51,2,10,2,5,0,4,1,0,0,50,38
49,2,9,2,11,0,4,1,0,1672,44,38
33,2,13,0,0,1,4,0,0,0,45,38
58,2,14,2,9,0,4,1,0,0,50,38
64,2,16,2,9,0,4,1,0,0,60,38
39,2,13,2,9,0,4,1,0,0,40,38
35,4,5,2,2,0,4,1,0,0,50,38
37,2,9,4,2,4,4,1,0,0,40,38
47,2,8,3,3,1,4,0,0,0,55,38
20,2,9,2,7,5,4,0,0,0,40,28
27,2,9,4,6,1,4,1,0,0,40,38
45,3,13,2,3,0,4,1,0,0,38,38
20,0,10,4,12,1,4,1,0,0,40,38
45,1,13,0,3,4,2,0,0,0,60,38
42,2,9,2,6,5,4,0,0,0,40,38
52,2,10,2,9,0,4,1,0,0,45,38
22,2,10,4,7,3,2,0,0,0,15,38
28,1,13,4,0,1,2,0,4101,0,60,38
23,2,13,4,3,1,4,1,0,0,40,38
52,2,9,5,7,2,4,0,0,0,20,38
41,1,13,2,2,0,2,1,0,0,40,38
39,2,9,4,3,1,4,1,0,0,40,38
26,2,9,2,9,0,4,1,0,0,50,38
46,2,7,0,9,4,0,1,0,0,40,38
